text_1,text_2
"Sorry to not drop it, but I obviously missed the Gunter judging you part. Please explain.","Thanks, Josh. I've got a whole new perspective on life!!! 10px; font-weight : bold; font-family : Verdana; color: #000000;'>This certifies that I, Lindsey,"
"Ahh! it's YOU! (AHH! IT'S ME!) Ha, confusion, confusion! Mmm... any way, I'm back from Harrogate! *yeay!* And I don't even know if that's spelt right! *yeay!* Ditto for that! Woohooo! Oh, I was measured for the dress! Yeah! Woohoo! Well I'm tired, and heh, this has taken a long time to type! *i'm busy* so I better be off bisi!","Isn't it really sad how Britain's really un-European? We sit here on our tiny island, sticking to our language and not even realising what amazing stuff is out there. No one speaks anything apart from English, our music charts are ridiculed by sad English pop music that you can't even compare to some of the international stuff, and yet we're European. We don't even take the Euro. It is sad! There's all this amazing songs, art and stuff that we don't even bother to look at. *majorly changing the actually good point* I wanna learn Spanish well! :'( Not just so I can sing along to Manu Chao... really... I wanna go on holiday to Spain and not be arrogant to think that they speak English. I don't want to be arrogant or ignorant."
"=20 This FRIDAY, DECEMBER 8, 2000 (5:00 p.m. CST) is the deadline for deferral= =20 program enrollment. Following the deadline, no new elections or changes to= =20 existing elections will be accepted. =20 To learn more about your deferral program opportunities and to enroll for= =20 2001 deferrals, access eHRonline at http://ehronline.enron.com. (Call the= =20 ISC Help Desk at 713-345-4727 if you need your ID or password to access the= =20 system.) 1. Review the program descriptions (attached to the Election Form) before y= ou=20 make your elections. 2. If you decide to defer compensation, complete the Election Form before= =20 Friday, December 8, 2000, 5:00 p.m. CST (the enrollment deadline). 3. Print your 2001 Election Form and Confirmation Statement right from the= =20 web site and you=01,re finished!=20 DEFERRAL ENROLLMENT 2001--ADDED VALUE FOR","The continued growth of the Enron Europe office and related businesses has prompted a change in the management of Risk Assessment and Control (RAC) in London. Effective in early January, 2001, Ted Murphy will transfer to the London office and manage the RAC activities which includes credit/market risk and underwriting. Ted will continue to manage the Enron Global Market Risk activities. Steve Young, currently managing RAC in London, will begin a new assignment within EBS, also in London. The Houston Market Risk group will be managed by David Port. As Enron continues to expand its trading and risk management businesses, it is vital that trading and credit policies are administered in a consistent and accurate manner across the company. Hopefully this realignment will accomplish that goal. Please join me in congratulating Ted, David and Steve on their new assignments."
"The version of this film I saw was a lot shorter than how long this film was supposed to be . Some of this could be due to differing cranking speeds - - silent films greatly varied on their length due to how fast the camera and projector are hand-cranked . In addition , a lot of very early films exist in several versions - - some times because the film was cut apart by movie theaters or distributors and some times simply because the print is so old , only portions remain . Whichever MIGHT be the case with this film , something definitely was missing . That's because I found I really needed to read the summary on IMDb to understand what was occurring in the film - - it really isn't evident in the film and there are no inter-title cards","This film was made during World War II and it's an excellent example of positive propaganda . The purpose was not just to entertain but solidify the American public behind the war effort . Instead of the usual war films or escapism , the hero of this story is a regular guy - - - just like those in the audience - - and it shows how even people on the home front can be important to the war effort . Robert Young plays a defense plant worker who is the crew chief responsible to assembling bombers . However , after being interviewed by federal authorities , he's given a super-top secret job installing bomb sights . The American bomb sights were one of the biggest secrets of the war , as planes were able to use this simple"
"Per our conversation...thanks for your help! ---------------------- Forwarded by Tana Jones/HOU/ECT on 05/26/99 11:38 AM --------------------------- Robin Pressler 05/25/99 04:46 PM To: Tana Jones/HOU/ECT@ECT cc: Dolores Sustaita/EPSC/HOU/ECT@ECT, Frank Ortiz/EPSC/HOU/ECT@ECT, Pat Scarborough/EPSC/HOU/ECT@ECT Subject: Lateral Files for EB 38, IP99 413 0005 0446 Tana, I have received the quote for the new files for your area. The 5-drawer files are $682 each and the 2-drawers are $362 each for a total of $5,948 (includes tax). If you want me to proceed with the order, please send me an authorizing email. Also, I still need to know how you would like the cabinets to be keyed: all alike, split by banks (by groups) or individually, or a combination of the last two options. I can submit this purchase order now","----- Forwarded by Tana Jones/HOU/ECT on 11/28/2000 03:42 PM ----- exchangeinfo@nymex.com 11/28/2000 02:12 PM To: tana.jones@enron.com cc: Subject: (00-407) Margin Rate Change for Natural Gas Notice No. 00-407 November 28, 2000 TO: ALL NYMEX MEMBERS AND MEMBER FIRMS ALL NYMEX CLEARING FIRMS ALL NYMEX OPERATIONS MANAGERS FROM: Neal Wolkoff, Executive Vice President SUBJECT: MARGIN RATE CHANGE Effective Date: Wednesday, November 29, 2000 (close of business) Futures Contract: Henry Hub Natural Gas Futures Contract Months: All Months Rate Change: NYMEX Division Margins on Henry Hub Natural Gas Futures Contracts Effective Date: Wednesday, November 29, 2000 (close of business) Clearing Member (Maintenance Margin): Old: $6,500 New: $7,500 Member Customer (Initial Margin): Old: $7,150 New: $8,250 Non-Member Customer (Initial Margin): Old: $8,775 New: $10,125 Should you have any questions regarding these changes, please contact Arthur McCoy at (212) 299-2928 or Joe"
"Hey there. I don't think I've been fishing since July. Geez, it is half way through September. I'm in Chicago today (NYC yesterday). A whirl wind tour. I hear the Aquarium closed - killed by bike lanes. Two weeks later the owner died. We need to find a ""new"" dive. Kay John Schwartzenburg@ENRON_DEVELOPMENT 09/12/2000 04:34 PM To: Kay Mann/Corp/Enron@ENRON cc: Subject: Re: Sanity check Yeh-huh. I sent an e-mail. I will dredge up and resend. Been fishing lately? To: John Schwartzenburg/ENRON_DEVELOPMENT@ENRON_DEVELOPMENT cc: Subject: Sanity check I'm either losing my mind or my email. Did you send me an email re GE? I thought I saw one, but now I can't find it. Is that a trick, and if so, how do I do it? Could you resend it, please? Thanks, Kay","Today Enron Broadband Services announced a 20-year exclusive agreement with Blockbuster to deliver a revolutionary new ""entertainment on demand"" service to consumers. Consumers will be able to order movies from the convenience of their homes, and watch them on their televisions whenever they want. To learn more about this exciting announcement and view a webcast featuring interviews with Ken Lay and Blockbuster CEO John Antioco, visit http://www.ebentertainmentondemand.com/."
"Norma, Thanks for your mesage. 1. I shall ask Krishna to reduce his rollover to 40 hrs. 2. Any resolution on bonus for Lance (October 2nd start)? Anita Dupont is in the same situation. 3. Can you send me a copy of exit interview for Grant Masson? There is a special reason I need and I shall explain it to you in person. 4. What time next week would be good for lunch? I would be glad to invite you Molly and Ramona. What about Friday the 22nd? Vince","As requested, please see the attached agreement. Please contact John Grass or the undersigned with your questions and or comments. Regards, Debra Perlingiere Legal Specialist"
"I presume that you would just as soon continue to follow this? Kay ---------------------- Forwarded by Kay Mann/Corp/Enron on 01/24/2001 05:26 PM --------------------------- Fred Mitro@ECT 01/24/2001 05:26 PM To: Kay Mann/Corp/Enron@Enron cc: Rusty Stevens/Corp/Enron@ENRON, Ben Jacoby/HOU/ECT@ECT Subject: SPA: Illinois Project Entities Kay: As we discussed, I have been working with a counterparty interested in purchasing one or both of ENA's Illinois development project LLC's. The counterparty is listed below: PSEG Americas Development Company, L.L.C. 35 Waterview Blvd. Parsippany, NJ 94105 The key points of the proposed transaction are: 1. The transaction would be an outright purchase of 100% of the member interests in one or both of the following project entities: Kendall New Century Development, L.L.C. Titan Land Development Company, L.L.C. 2. The purchase price of 100% of the member interests would be:","It should have been Sierra Power Corp. I've changed it. Thanks, kate Melissa Ann Murphy 04/06/2001 11:58 AM To: Kate Symes/PDX/ECT@ECT cc: Subject: deal # 572033.01 Hello, Sierra Pacific Power Company called me and they don't recognize this trade. Could it possibly be with another counterparty? Thanks, Melissa (713) 853-1886"
"Another of the seemingly innumerable FitzParick Traveltalks , a Technicolor series that MGM distributed for a couple of decades . In an era where a trip to the local movie theater was all that most moviegoers could afford , these afforded some interesting shots of exotic locales , and , indeed , the Technicolor photography , here by future Oscar winner Winton Hoch , is quite lovely . However I should note that Mr . FitzPatrick - - who , besides producing and narrating this series , also ran a travel agency for those who could afford to travel - - rendering these , in effect , low-key infomercials - - speaks in what I can only describe as an emphatic","This is one of the great movies of the 80s in My collection that I think about all the time . Legend is a fantastic movie ! I have seen this beautiful film countless times . There is just so much in this film and everything is wonderful . The prologue is a very interesting reading and after you hear the bell sounds get ready to see a visually stunning epic of greatness , love , action , and darkness ! This movie here is one of the greatest that I have ever seen . By watching the original theatrical version and the Director's Cut of the film on the Ultimate Legend DVD I have realized that Legend is indeed arguably the greatest movie ever filmed and even though there are two versions they are equal . What makes The Director's Cut different is it longer with added scenes , more character development , and has a different musical score by Jerry Goldsmith . The actors that are"
hey. thort u'd probably be on here when u get back from ur hols. i can come on monday! and times for the 28th are 7 til when ever u wanna leave but i'm not sure about sleepover yet. it will be very limited numbers if i do have a sleepover. i havent summoned the courage to ask my parents yet!,"Once the party discovers what happened to Castillion (a mystery that technically matters directly to only two present characters -- Gregory and Ian), the group will be at an interesting crux: What Next? The party is now international in membership, and global (and beyond) in awareness of The World. The mysteries and challenges that have been placed on the table are definitely different from how the story began. This may be frustrating to some, and I understand the desire for simplicity (Let's Just Get The Ring to Mount Doom), but it was always my intention to create a broad, organic world within which various characters could pursue adventure and glory. I had done the Single Through-Line campaign before; I was interested in trying something with fewer (if any) boundaries. The catch, though, is that the game began with certain set archetypes, if you will -- various Local Yokels and a couple of"
